"choice","nonchoice","value","rt","pair","valence","iter","med","ord_sbj","not_cond1","not_cond2","dmed"
1,2,1,0.759,2,2,45,"off",1,1,3,0
1,2,0,0.807,3,1,45,"off",1,1,2,0
2,1,1,-2.681,1,2,46,"off",1,2,3,0
1,2,1,0.874,3,2,46,"off",1,1,2,0
1,2,1,1.091,2,2,46,"off",1,1,3,0
1,2,1,1.21,1,2,47,"off",1,2,3,0
2,1,0,-1.578,3,1,47,"off",1,1,2,0
1,2,1,0.737,2,2,47,"off",1,1,3,0
1,2,0,0.491,3,1,48,"off",1,1,2,0
1,2,0,1.083,1,1,48,"off",1,2,3,0
1,2,1,1.419,2,2,48,"off",1,1,3,0
2,1,0,-1.936,3,1,49,"off",1,1,2,0
1,2,0,1.575,2,1,49,"off",1,1,3,0
1,2,0,0.848,1,1,49,"off",1,2,3,0
1,2,1,1.08,1,2,50,"off",1,2,3,0
1,2,0,1.243,3,1,50,"off",1,1,2,0
1,2,1,1.034,2,2,50,"off",1,1,3,0
2,1,0,-1.712,1,1,51,"off",1,2,3,0
1,2,0,0.807,3,1,51,"off",1,1,2,0
1,2,1,0.63,2,2,51,"off",1,1,3,0
2,1,0,-1.043,1,1,52,"off",1,2,3,0
1,2,1,0.944,3,2,52,"off",1,1,2,0
2,1,1,-0.94,2,2,52,"off",1,1,3,0
1,2,1,1.197,1,2,53,"off",1,2,3,0
1,2,0,1.601,3,1,53,"off",1,1,2,0
1,2,1,1.003,2,2,53,"off",1,1,3,0
1,2,1,0.465,3,2,54,"off",1,1,2,0
2,1,0,-1.733,1,1,54,"off",1,2,3,0
1,2,1,0.722,2,2,54,"off",1,1,3,0
2,1,1,-0.953,3,2,55,"off",1,1,2,0
1,2,1,1.337,2,2,55,"off",1,1,3,0
2,1,1,-1.614,1,2,55,"off",1,2,3,0
1,2,0,1.473,3,1,56,"off",1,1,2,0
1,2,0,0.841,1,1,56,"off",1,2,3,0
1,2,1,0.647,2,2,56,"off",1,1,3,0
2,1,0,-1.179,1,1,57,"off",1,2,3,0
2,1,1,-0.898,3,2,57,"off",1,1,2,0
1,2,0,1.302,2,1,57,"off",1,1,3,0
2,1,1,-1.413,3,2,58,"off",1,1,2,0
2,1,0,-1.82,1,1,58,"off",1,2,3,0
1,2,0,0.923,2,1,58,"off",1,1,3,0
2,1,0,-0.664,1,1,59,"off",1,2,3,0
1,2,0,0.655,2,1,59,"off",1,1,3,0
1,2,0,1.033,3,1,59,"off",1,1,2,0
1,2,1,0.531,1,2,60,"off",1,2,3,0
1,2,0,0.746,2,1,60,"off",1,1,3,0
1,2,1,0.743,3,2,60,"off",1,1,2,0
1,2,1,0.653,2,2,61,"off",1,1,3,0
2,1,1,-1.254,3,2,61,"off",1,1,2,0
2,1,0,-0.865,1,1,61,"off",1,2,3,0
1,2,0,0.49,3,1,62,"off",1,1,2,0
1,2,1,0.87,1,2,62,"off",1,2,3,0
1,2,1,0.681,2,2,62,"off",1,1,3,0
1,2,1,1.434,2,2,63,"off",1,1,3,0
2,1,0,-1.265,3,1,63,"off",1,1,2,0
1,2,1,0.796,1,2,63,"off",1,2,3,0
2,1,0,-1.03,2,1,64,"off",1,1,3,0
